ubigeo_id,nivel,departamento,provincia,distrito,inei
0201d09,distrito,Áncash,Huaraz,Pampas Grande,
0304d07,distrito,Apurímac,Aymaraes,Ihuayllo,
0507d07,distrito,Ayacucho,Parinacochas,San Francisco De Rivacayco,
0510d10,distrito,Ayacucho,Víctor Fajardo,Hualla,
1006d02,distrito,Huánuco,Leoncio Prado,Daniel Alomía Robles,
1209d06,distrito,Junín,Chupaca,San Juan De Iscos,
1301d12,distrito,La Libertad,Trujillo,Alto Trujillo,
1506d12,distrito,Región Lima,Huarochirí,San Pedro De Laraos,
1509d03,distrito,Región Lima,Yauyos,Allauca,
1604d05,distrito,Loreto,Mariscal Ramón Castilla,Santa Rosa De Loreto,
