ubigeo,departamento,pob_total,pob_censada,hombres,mujeres,urbana,rural,viviendas,hogares,sis,essalud,sin_seguro,pob_sis,pob_essalud,n_ipress,medicos,enfermeras,obstetras,odontologos,camas,d_medicos,d_enfermeras,d_obstetras,med_pub,med_ess,pct_oms,brecha_oms,hab_medico,pob_ipress
010000,Amazonas,467688,453100,227039,226061,178109,274991,189232.0,149604.0,392728.0,45699.0,10477.0,392728,45699,681,279,429,139,35,387,6.0,9.2,3.0,4.2,16.4,40.7,1234,1676.0,687.0
030000,Apurímac,467513,445442,218192,227250,218695,226747,236065.0,167044.0,376517.0,58168.0,5921.0,376517,58168,668,519,781,190,65,433,11.1,16.7,4.1,7.2,30.6,71.6,590,901.0,700.0
040000,Arequipa,1814554,1736156,864811,871345,1613112,123044,809009.0,632685.0,935421.0,583102.0,140396.0,935421,583102,1256,4035,3717,823,424,2562,22.2,20.5,4.5,13.7,19.4,106.2,0,450.0,1445.0
050000,Ayacucho,709026,676973,333773,343200,377243,299730,355839.0,247888.0,578472.0,81369.0,11238.0,578472,81369,668,795,1388,621,156,828,11.2,19.6,8.8,10.1,21.4,88.9,351,892.0,1061.0
060000,Cajamarca,1490732,1432443,700105,732338,562751,869692,678496.0,496663.0,1216536.0,168735.0,30494.0,1216536,168735,1479,1613,2407,996,261,1177,10.8,16.2,6.7,9.4,15.3,75.6,1618,924.0,1008.0
070000,Callao,1093495,1042857,511721,531136,1042857,0,353041.0,295626.0,526991.0,383123.0,72640.0,526991,383123,878,3252,2957,452,218,1983,29.7,27.0,4.1,19.5,35.5,136.9,0,336.0,1245.0
080000,Cusco,1379167,1295282,638981,656301,815700,479582,639942.0,473229.0,1002115.0,222672.0,50633.0,1002115,222672,1211,2058,2612,903,241,1932,14.9,18.9,6.6,12.8,18.0,90.8,564,670.0,1139.0
090000,Huancavelica,372158,362747,177463,185284,118335,244412,203640.0,134685.0,315582.0,43134.0,2383.0,315582,43134,494,656,1052,655,195,425,17.6,28.3,17.6,18.2,17.4,142.7,0,567.0,753.0
100000,Huánuco,807393,771458,380884,390574,424014,347444,359768.0,268579.0,645372.0,102326.0,15924.0,645372,102326,477,552,1073,433,90,532,6.8,13.3,5.4,5.3,15.4,57.3,1535,1463.0,1693.0
110000,Ica,1033084,1016682,504884,511798,950650,66032,411162.0,329980.0,568482.0,370480.0,57993.0,568482,370480,527,1961,1911,427,193,1278,19.0,18.5,4.1,14.6,18.1,93.5,298,527.0,1960.0
120000,Junín,1422780,1362163,667827,694336,1014511,347652,597127.0,471715.0,1020427.0,257765.0,60269.0,1020427,257765,1117,2250,2887,1210,293,1506,15.8,20.3,8.5,13.0,22.0,100.2,0,632.0,1274.0
130000,La Libertad,2056445,1992917,977799,1015118,1585516,407401,779355.0,615182.0,1309374.0,523497.0,122107.0,1309374,523497,764,3362,2949,667,162,1957,16.4,14.3,3.2,11.0,16.0,76.3,2173,612.0,2692.0
140000,Lambayeque,1404643,1361531,662763,698768,1105734,255797,508677.0,409921.0,912004.0,356176.0,60268.0,912004,356176,674,2012,2037,480,129,1524,14.3,14.5,3.4,9.9,13.1,72.5,1722,698.0,2084.0
150000,Lima,11157400,10571274,5180586,5390688,10415663,155611,4117667.0,3209900.0,5608810.0,3424414.0,695356.0,5608810,3424414,9755,32244,24685,3375,1662,236858,28.9,22.1,3.0,17.9,16.5,121.5,0,346.0,1144.0
160000,Loreto,1032771,1011101,507488,503613,688714,322387,299550.0,250345.0,817610.0,150246.0,30083.0,817610,150246,836,832,983,264,93,863,8.1,9.5,2.6,4.2,17.8,45.2,2517,1241.0,1235.0
170000,Madre de Dios,208667,185176,95585,89591,150594,34582,94687.0,60898.0,146146.0,24859.0,12432.0,146146,24859,244,122,208,49,10,163,5.8,10.0,2.4,4.9,16.5,40.8,550,1710.0,855.0
180000,Moquegua,194828,179214,89521,89693,155916,23298,98093.0,63886.0,101345.0,63870.0,7307.0,101345,63870,138,485,487,110,27,315,24.9,25.0,5.6,19.8,32.1,124.8,0,402.0,1412.0
190000,Pasco,253549,235538,116997,118541,152142,83396,110761.0,76535.0,176469.0,52032.0,5639.0,176469,52032,329,446,545,288,69,435,17.6,21.5,11.4,14.5,25.4,113.4,0,568.0,771.0
200000,Piura,2115215,2089044,1034975,1054069,1713601,375443,746947.0,617790.0,1497335.0,464319.0,83415.0,1497335,464319,1470,2489,1864,496,115,1812,11.8,8.8,2.3,5.5,12.3,51.5,4564,850.0,1439.0
210000,Puno,1232993,1169970,574816,595154,610563,559407,779844.0,550388.0,924755.0,140107.0,95552.0,924755,140107,742,1231,1768,568,230,1135,10.0,14.3,4.6,7.2,27.9,65.0,1920,1002.0,1662.0
220000,San Martín,967923,949455,479542,469913,700257,249198,367727.0,309107.0,779455.0,135542.0,25579.0,779455,135542,764,1423,1524,766,158,1062,14.7,15.8,7.9,12.2,17.6,86.2,594,680.0,1267.0
230000,Tacna,389226,363409,179296,184113,327145,36264,197037.0,129741.0,226197.0,90693.0,35280.0,226197,90693,502,599,542,135,47,418,15.4,13.9,3.5,10.6,20.6,73.7,456,650.0,775.0
240000,Tumbes,256691,250997,126091,124906,234366,16631,103316.0,74326.0,182329.0,50155.0,12747.0,182329,50155,117,328,454,191,47,269,12.8,17.7,7.4,10.7,23.3,85.2,169,783.0,2194.0
250000,Ucayali,623868,586172,296667,289505,457011,129161,202471.0,154216.0,461441.0,93017.0,25495.0,461441,93017,322,838,1108,555,108,490,13.4,17.8,8.9,11.3,22.1,90.1,275,744.0,1937.0
020000,Áncash,1205923,1164927,572749,592178,758592,406335,523153.0,380238.0,869144.0,239307.0,39076.0,869144,239307,620,1741,2282,915,239,1237,14.4,18.9,7.6,11.6,16.7,92.0,428,693.0,1945.0
